outcome,spec,label,family,p10,p25,p50,p75,p90,p90_p10,va_sd,n_schools,n_students,sample_mean,sample_sd
z_year_math_max,math_adj,Math,Achievement,-0.21575331502741,-0.154936452154532,-0.0744290962891521,0.0580195216608188,0.328219315010576,0.543972630037986,0.25809584494569,3365,556607,0.0429064106000149,1.00235987124574
z_year_leng_max,leng_adj,Language,Achievement,-0.20151441980503,-0.134653065237599,-0.0295458953195841,0.0948114564879701,0.238098828518076,0.439613248323107,0.187597465135581,3374,563429,0.0494554085464119,0.989033573230192
stem_enrollment_m1,stem_adj,STEM enrollment,Higher education,-0.0780672782965223,-0.0446711155362354,-0.0121409473013925,0.0305988366719356,0.0859941545801432,0.164061432876665,0.0780195364842354,3375,565432,0.251575786301447,0.43391905125582
inst_certified_years_m1,instcert_adj,Institutional quality,Higher education,-0.457665663348516,-0.213740698606858,-0.00263641370773726,0.230799612109947,0.459477937733496,0.917143601082012,0.375439737650321,3375,565432,4.67835389578234,2.37937355973868
