income_measure,n_students,n_cohorts,min_cohort,max_cohort,mean_x_millions,median_x_millions,mean_program_income_full_millions,median_program_income_full_millions,corr_raw,intercept_millions,slope_millions_per_million,r_squared
student_direct_income_mid,706279,4,2017,2020,0.571231057414988,0.35,1.23041010886202,1.15605961901099,0.302055791721548,1.03980624464641,0.333672095989766,0.0912377013125887
school_median_income_mid,792983,4,2017,2020,0.533701100780219,0.35,1.22653660361021,1.15112609981314,0.313815041214701,1.02542562369379,0.376823243611554,0.0984798800925654
