outcome_key,outcome,label,sample_mean,sample_sd,va_sd,p10,p25,p50,p75,p90,n_students,n_schools
math,z_year_math_max,Math,0.0428171678126007,1.00223156258141,0.222225079734118,-0.195354096542614,-0.14090001178291,-0.0621082127497498,0.0571051318480462,0.296682504541878,561977,3373
language,z_year_leng_max,Verbal,0.0492799139719919,0.989087637929758,0.149905907603821,-0.172360547475511,-0.111024895570276,-0.0210880731877865,0.0834792576671273,0.201537454728514,569047,3381
highinst,high_inst_m1,High-premium institution,0.141919712295135,0.348968004572463,0.106381211996001,-0.0900265184848719,-0.0662750608170123,-0.0293229659877878,0.0229149002742742,0.143534715600737,757999,3682
highpay,highpay_field_m1,High-premium field,0.347434822700981,0.476155629437093,0.0528805311121933,-0.0603335716718599,-0.0349556455633439,-0.0035047939174182,0.0297401496264901,0.062894559190003,715740,3680
program_income_full,log_proginc_full_clp_m1,Log proj. income,13.8929302598181,0.522033342740668,0.0721405191526856,-0.0933951921060023,-0.0489192068521652,-0.0015992203242091,0.0439292136195282,0.0903941646177588,757999,3682
