comparison,correlation,n_schools,slope,intercept,figure
math_vs_language,0.659115991374777,3371,0.577338868122808,-0.0183867908179529,math_language_va_correlation.png
math_vs_highpay,0.273094220709511,3371,0.0872960138362915,-0.00900173144471697,math_highpay_va_correlation.png
