METRIC,VALUE
orientador-year observations,17399
Unique orientadores,4723
orientadores observed in one year only,1284
orientadores observed in at least two years,3439
Multi-year orientadores observed at multiple schools,351
Share of multi-year orientadores observed at multiple schools,0.102064553649317
Consecutive-year orientador transitions,12426
Consecutive-year school changes,258
School-change rate across consecutive-year transitions,0.0207629164654756
