FROM_YEAR,TO_YEAR,N_FROM,N_TO,N_OBSERVED_BOTH,N_SAME_RBD,N_MOVED_RBD,MOVE_RATE_AMONG_OBSERVED_BOTH,RETENTION_RATE,N_NOT_OBSERVED_NEXT_YEAR,N_NEWLY_OBSERVED
2018,2019,2177,2190,1787,1733,54,0.0302182428651371,0.820854386770786,390,403
2019,2020,2190,2150,1846,1811,35,0.0189599133261105,0.842922374429224,344,304
2020,2021,2150,2089,1818,1785,33,0.0181518151815182,0.845581395348837,332,271
2021,2022,2089,2113,1695,1666,29,0.0171091445427729,0.811393011010053,394,418
2022,2023,2113,2220,1746,1714,32,0.0183276059564719,0.826313298627544,367,474
2023,2024,2220,2239,1760,1724,36,0.0204545454545455,0.792792792792793,460,479
2024,2025,2239,2221,1774,1735,39,0.0219842164599775,0.792317999106744,465,447
