"","student_id","school_id","student_pref","priority_level","is_pie","orden_pie","academic_order_transition","loteria_original","is_prioritario","is_high_achv","school_id_actual","my_da_school_id","same_assignment"
"101",22316573,"3713_131000000133_2018",8,4,0,NA,NA,77,0,0,"3713_131000000133_2018","unmatched",0
"102",22342999,"356_131000000133_2018",2,4,0,NA,NA,231,0,0,"356_131000000133_2018","unmatched",0
"103",22694757,"22629_131000000133_2018",2,4,0,NA,NA,23,1,0,"22629_131000000133_2018","unmatched",0
"104",23282591,"10892_131000000131_2018",3,4,0,NA,NA,313,0,1,"10892_131000000131_2018","unmatched",0
"105",23502180,"13313_131000000133_2018",2,4,0,NA,NA,13,0,0,"13313_131000000133_2018","unmatched",0
"106",23880884,"2785_131000000133_2018",2,4,0,NA,NA,70,0,0,"2785_131000000133_2018","unmatched",0
"107",24244123,"17876_131000000133_2018",4,4,0,NA,NA,136,0,0,"17876_131000000133_2018","unmatched",0
"108",24561368,"22410_131000000133_2018",4,4,0,NA,NA,13,0,0,"22410_131000000133_2018","unmatched",0
"109",24684919,"6398_131000000133_2018",2,4,0,NA,NA,13,0,1,"6398_131000000133_2018","unmatched",0
"110",24778398,"22560_131000000133_2018",6,4,0,NA,NA,155,1,0,"22560_131000000133_2018","unmatched",0
"111",25499058,"40320_131000000133_2018",2,4,0,NA,NA,79,0,0,"40320_131000000133_2018","unmatched",0
"112",25512757,"16508_131000000133_2018",3,4,0,NA,NA,37,0,0,"16508_131000000133_2018","unmatched",0
